02.03.2023 09:08:50.889 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 15084 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
02.03.2023 09:08:50.890 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
02.03.2023 09:08:58.039 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 7.786 seconds (JVM running for 10.282)
02.03.2023 09:33:52.400 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 18400 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
02.03.2023 09:33:52.404 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
02.03.2023 09:33:58.989 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 7.139 seconds (JVM running for 9.319)
02.03.2023 09:37:56.042 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 1664 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
02.03.2023 09:37:56.044 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
02.03.2023 09:38:08.173 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 12.944 seconds (JVM running for 15.487)
02.03.2023 13:34:23.498 INFO  r.s.S.H.CommandHandler - Foxy_Daria click: back
02.03.2023 13:34:30.236 INFO  r.s.S.H.CommandHandler - Foxy_Daria click: 4
02.03.2023 16:06:12.547 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 10712 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
02.03.2023 16:06:12.563 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
02.03.2023 16:06:25.719 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 14.795 seconds (JVM running for 20.817)
02.03.2023 16:07:43.644 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 3992 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
02.03.2023 16:07:43.644 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
02.03.2023 16:07:56.439 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 13.797 seconds (JVM running for 18.646)
02.03.2023 16:17:22.887 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 14356 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
02.03.2023 16:17:22.889 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
02.03.2023 16:17:36.596 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 14.512 seconds (JVM running for 16.638)
03.03.2023 08:35:45.788 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 11040 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
03.03.2023 08:35:45.799 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
03.03.2023 08:36:18.306 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 35.371 seconds (JVM running for 45.338)
03.03.2023 08:37:26.195 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 10200 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
03.03.2023 08:37:26.197 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
03.03.2023 08:38:18.906 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 55.81 seconds (JVM running for 62.522)
06.03.2023 09:48:18.916 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 7948 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 09:48:18.920 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 09:48:43.844 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 26.953 seconds (JVM running for 31.242)
06.03.2023 09:50:02.726 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 14320 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 09:50:02.729 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 09:50:16.718 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 15.129 seconds (JVM running for 18.128)
06.03.2023 10:15:29.604 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 5728 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:15:29.613 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:15:53.635 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 25.038 seconds (JVM running for 28.553)
06.03.2023 10:20:31.612 INFO  r.s.S.SearchForMessagesBotApplication - Starting SearchForMessagesBotApplication using Java 17.0.2 on DESKTOP-KCBR34O with PID 9064 (C:\Users\VSH\IdeaProjects\TGBotTest\target\classes started by VSH in C:\Users\VSH\IdeaProjects\TGBotTest)
06.03.2023 10:20:31.615 INFO  r.s.S.SearchForMessagesBotApplication - No active profile set, falling back to 1 default profile: "default"
06.03.2023 10:20:48.019 INFO  r.s.S.SearchForMessagesBotApplication - Started SearchForMessagesBotApplication in 17.738 seconds (JVM running for 19.863)
